ID,x1,y1,z1,x2,y2,z2,x3,y3,z3,isGripperOpen,img_filename
0,-0.0030348300933837,-0.1069473028182983,-0.0005320310592651,-0.0510414838790893,-0.1918678283691406,-0.0053580999374389,-0.1637994050979614,-0.2200280427932739,-0.0110828876495361,False,sample_0.jpg
1,0.0028188228607177,-0.1070220470428466,-8.213520050048828e-05,0.0634940862655639,-0.1834292411804199,0.0043787956237792,0.1755903959274292,-0.2133309841156005,0.0133464336395263,False,sample_1.jpg
2,-0.0002415180206298,-0.1067647933959961,-0.0023846626281738,-0.0019118785858154,-0.1912605762481689,-0.0513449907302856,-0.0044970512390136,-0.186120867729187,-0.1675646305084228,False,sample_2.jpg
3,-0.0037784576416015,-0.1067912578582763,-0.0055170059204101,-0.0480462312698364,-0.1699024438858032,-0.0654900074005127,-0.1162807941436767,-0.1641607284545898,-0.1595708131790161,False,sample_3.jpg
4,0.0043115615844726,-0.1066857576370239,-0.0073128938674926,0.0433138608932495,-0.1616830825805664,-0.0779780149459838,0.1006171703338623,-0.151145339012146,-0.1787023544311523,False,sample_4.jpg
5,0.0032713413238525,-0.1067547798156738,-0.0022178888320922,0.0560692548751831,-0.173598051071167,-0.0500067472457885,0.1425007581710815,-0.1536637544631958,-0.1253217458724975,False,sample_5.jpg
6,-0.004138708114624,-0.1069495677947998,-0.0029449462890625,-0.0544984340667724,-0.1797338724136352,-0.044245958328247,-0.1421412229537964,-0.1945469379425048,-0.1193420886993408,False,sample_6.jpg
7,-0.0062887668609619,-0.1067957878112793,-0.0021687746047973,-0.0756227970123291,-0.1714930534362793,-0.0255458354949951,-0.1857101917266845,-0.1668674945831298,-0.0629554986953735,False,sample_7.jpg
8,-0.0026154518127441,-0.1067849397659301,-0.0062173604965209,-0.0382322072982788,-0.1611859798431396,-0.0790966749191284,-0.0862116813659668,-0.1481016874313354,-0.1842960119247436,False,sample_8.jpg
9,0.0013717412948608,-0.106740117073059,-0.0025719404220581,0.0239124298095703,-0.168635606765747,-0.0746850967407226,0.0604510307312011,-0.146780252456665,-0.1829780340194702,False,sample_9.jpg
10,0.0061643123626708,-0.106823444366455,-0.002492070198059,0.0761746168136596,-0.1676273345947265,-0.0331655740737915,0.1832033395767212,-0.1650189161300659,-0.0787527561187744,False,sample_10.jpg
11,0.0008672475814819,-0.1067720651626586,0.0005241632461547,0.0625984668731689,-0.1814304590225219,-0.0119178295135498,0.175412893295288,-0.1612859964370727,-0.0320981740951538,False,sample_11.jpg
12,0.0062185525894165,-0.1067374944686889,-0.0044697523117065,0.0677862167358398,-0.1672935485839843,-0.0500968694686889,0.1613374948501587,-0.1597434282302856,-0.1188809871673584,False,sample_12.jpg
13,0.0062165260314941,-0.1067328453063964,-0.0023893117904663,0.078218936920166,-0.1664402484893798,-0.0304980278015136,0.1859141588211059,-0.152461290359497,-0.0722883939743042,False,sample_13.jpg
14,0.003588318824768,-0.1068540811538696,0.0009760856628417,0.0674470663070678,-0.1788903474807739,0.0174767971038818,0.1796823740005493,-0.1843940019607544,0.0476934909820556,False,sample_14.jpg
